,confidence,feedback,corrcted feedback,intent,response,utterance,
4,0.67,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Wellness?,
7,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the mailroom?,
11,0.76,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",What time can I eat?,
14,0.78,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the switchboard?,
15,0.9,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",How many restaurants are available in Rhodanie?,
17,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the mailroom?,
28,1,0,,General_Greetings,"I was getting bored, but now you are here.",HOw are you today?,
31,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is Interact?,
44,1,0,,Feedback,I am happy to hear that,YES,
46,1,1,,Feedback,I am happy to hear that,YES,
48,0.43,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Where can I find food?,
50,0.79,1,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",Can you do anything else?,
51,1,1,,Feedback,I am sorry to hear that,NO,
52,1,1,,Feedback,I am sorry to hear that,NO,
54,0.83,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the grand restaurant?,
58,0.51,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the media room?,
63,0.69,0,,General_Greetings,"I was getting bored, but now you are here.","Hello Julie, how are you ?",
68,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",How are you? ,
72,0.36,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",where can I find my salary payment ,
74,0.46,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",When can we have a car? ,1
83,1,0,,Feedback,I am happy to hear that,YES,
85,0.97,0,,General_Ending,Bye bye! Thanks for the chat!,"Bye, have a good day",
91,0.56,0,,General_Ending,Bye bye! Thanks for the chat!,"Thank you, bye ! ",
